Адрес;Что делаем;Окно с;Окно до;Работы, мин;Авария
Москва, проезд 3-й Павелецкий, 9;Конвергенция абонента;18:00;20:00;60;нет
Москва, улица Восточная, 2к2;Конвергенция абонента;18:00;20:00;60;нет
Москва, улица Дубининская, 59к2;Конвергенция абонента;18:00;20:00;60;нет
Москва, улица Шверника, 18к2;Конвергенция абонента;20:00;22:00;60;нет
Москва, улица Нагорная, 44к2;Конвергенция абонента;20:00;22:00;60;нет
Москва, улица Херсонская, 18;Конвергенция абонента;12:00;14:00;60;нет
Москва, проспект 60-летия Октября, 18к2;Конвергенция абонента;16:00;18:00;60;нет
Москва, улица Дмитрия Ульянова, 27;Конвергенция абонента;14:00;16:00;60;нет
Москва, улица Усачёва, 29к1;Заказ подключения/Дозаказ оборудования;16:00;18:00;75;нет
Москва, улица Винокурова, 12к4;Конвергенция абонента;16:00;18:00;60;нет
Москва, проспект Балаклавский, 20к4;Конвергенция абонента;18:00;20:00;60;нет
Москва, улица Садовники, 10к1;Конвергенция абонента;16:00;18:00;60;нет
Москва, улица Каховка, 7к1;Конвергенция абонента;12:00;14:00;60;нет
Москва, улица Большая Пионерская, 33к2;Конвергенция абонента;16:00;18:00;60;нет
Москва, улица Плющиха, 42;Конвергенция абонента;10:00;12:00;60;нет
Москва, улица Судостроительная, 31к3;Конвергенция абонента;10:00;12:00;60;нет
Москва, улица Судостроительная, 36;Конвергенция абонента;12:00;14:00;60;нет
Москва, улица Затонная, 11к3;Заказ подключения/Дозаказ оборудования;10:00;12:00;75;нет
Москва, улица Автозаводская, 11;Конвергенция абонента;18:00;20:00;60;нет
Москва, улица Шверника, 12/2к3;Конвергенция абонента;10:00;12:00;60;нет
Москва, улица Судостроительная, 27к2;Заявка на подключение;20:00;22:00;90;нет
Москва, улица Шверника, 3;Конвергенция абонента;16:00;18:00;60;нет
Москва, бульвар Черноморский, 19к2;Конвергенция абонента;12:00;14:00;60;нет
Москва, улица Керченская, 6к2;Конвергенция абонента;12:00;14:00;60;нет
Москва, бульвар Кленовый, 10к1;Заявка на подключение;10:00;12:00;90;нет
Москва, улица Коломенская, 5;Конвергенция абонента;12:00;14:00;60;нет
Москва, бульвар Смоленский, 17с1;Заказ подключения/Дозаказ оборудования;12:00;14:00;75;нет
Москва, улица Усачёва, 25;Конвергенция абонента;10:00;12:00;60;нет
Москва, проспект 60-летия Октября, 17;Конвергенция абонента;20:00;22:00;60;нет
Москва, улица Ремизова, 15к2;Заказ подключения/Дозаказ оборудования;20:00;22:00;75;нет
Москва, улица Шверника, 5к2;Нет линка;18:00;20:00;60;нет
Москва, улица Академика Миллионщикова, 13к1;Нет линка;20:00;22:00;60;нет
Москва, улица Винокурова, 5/6к2;TVE/ENT. Другие ошибки;18:00;20:00;45;нет
Москва, проспект Балаклавский, 50;Нет линка;20:00;22:00;60;нет
Москва, бульвар Симферопольский, 27;Нет линка;18:00;20:00;60;нет
Москва, улица Болотниковская, 9к2;Нет линка;10:00;12:00;60;нет
Москва, улица Трофимова, 4А;Нет линка;12:00;14:00;60;нет
Москва, улица Коломенская, 21;Разрывы;16:00;18:00;60;нет
Москва, набережная Нагатинская, 60к2;Нет линка;12:00;14:00;60;нет
Москва, проезд Коломенский, 27к3;Нет линка;10:00;12:00;60;нет
Москва, улица Затонная, 12к1;Нет линка;20:00;22:00;60;нет
Москва, улица Городская, 9;Нет линка;14:00;16:00;60;нет
Москва, проспект Севастопольский, 9к1;IP-адрес 169...;18:00;20:00;30;нет
Москва, проезд 3-й Павелецкий, 7к2;Роутер. Замена техническим специалистом;12:00;14:00;30;нет
Москва, улица Большая Серпуховская, 31к6;IP-адрес 169...;10:00;12:00;30;нет
Москва, улица 2-я Рощинская, 11;Разрывы;16:00;18:00;60;нет
Москва, переулок Ослябинский, 3;ТВ. Замена приставки техником;16:00;18:00;30;нет
Москва, улица Шверника, 14/1к2;Рост ошибок на порту;10:00;12:00;45;нет
Москва, улица Профсоюзная, 8к2;Работа с кабелем;16:00;18:00;75;нет
Москва, проспект Нахимовский, 50;ТВ. Замена приставки техником;14:00;16:00;30;нет
Москва, бульвар Чонгарский, 22к2;Переключение на Гбит/с;18:00;20:00;45;нет
Москва, улица Люсиновская, 4;Переключение на Гбит/с;14:00;16:00;45;нет
Москва, улица Ремизова, 15к2;Переключение на Гбит/с;10:00;12:00;45;нет
Москва, бульвар Чонгарский, 1к4;Работа с кабелем;16:00;18:00;75;нет
Москва, улица Керченская, 10к2;IP-адрес 169...;14:00;16:00;30;нет
Москва, проспект Ленинский, 70/11;Информация;14:00;16:00;30;да
