Адрес;Что делаем;Окно с;Окно до;Работы, мин;Авария
Москва, проспект Волгоградский, 128к5;Конвергенция абонента;20:00;22:00;60;нет
Москва, переулок Маяковского, 2;Конвергенция абонента;18:00;20:00;60;нет
Москва, улица Грайвороновская, 10к2;Заявка на подключение;18:00;20:00;90;нет
Москва, улица Михайлова, 14;Конвергенция абонента;20:00;22:00;60;нет
Москва, улица 3-я Институтская, 5к2;Конвергенция абонента;18:00;20:00;60;нет
Москва, улица 1-я Новокузьминская, 16к1;Конвергенция абонента;18:00;20:00;60;нет
Москва, улица Окская, 32;Конвергенция абонента;20:00;22:00;60;нет
Москва, улица Юных Ленинцев, 84;Конвергенция абонента;16:00;18:00;60;нет
Москва, улица Международная, 28с1;Конвергенция абонента;10:00;12:00;60;нет
Москва, улица Новорогожская, 8;Конвергенция абонента;12:00;14:00;60;нет
Москва, улица Чистова, 12;Конвергенция абонента;16:00;18:00;60;нет
Москва, улица Паперника, 19;Конвергенция абонента;12:00;14:00;60;нет
Москва, улица Окская, 48/2;Конвергенция абонента;14:00;16:00;60;нет
Москва, улица Трофимова, 24к2;Конвергенция абонента;16:00;18:00;60;нет
Москва, улица 1-я Дубровская, 6;Конвергенция абонента;14:00;16:00;60;нет
Москва, улица Рогожский Вал, 2/50;Конвергенция абонента;12:00;14:00;60;нет
Москва, улица Талалихина, 2/1к4;Конвергенция абонента;10:00;12:00;60;нет
Москва, улица Артюхиной, 20А;Конвергенция абонента;14:00;16:00;60;нет
Москва, улица Малышева, 13;Конвергенция абонента;10:00;12:00;60;нет
Москва, улица Бронницкая, 12;Заявка на подключение;12:00;14:00;90;нет
Москва, улица Авиамоторная, 14;Конвергенция абонента;12:00;14:00;60;нет
Москва, улица Фёдора Полетаева, 2к6;Конвергенция абонента;12:00;14:00;60;нет
Москва, улица Зарайская, 51к2;Конвергенция абонента;10:00;12:00;60;нет
Москва, улица Саратовская, 14/1;Конвергенция абонента;14:00;16:00;60;нет
Москва, улица Нижегородская, 63;Заявка на подключение;10:00;12:00;90;нет
Москва, улица Смирновская, 6;Заказ подключения/Дозаказ оборудования;12:00;14:00;75;нет
Москва, улица Нижегородская, 61;Конвергенция абонента;12:00;14:00;60;нет
Москва, улица Зеленодольская, 28Б;Конвергенция абонента;10:00;12:00;60;нет
Москва, улица Артюхиной, 16;Конвергенция абонента;12:00;14:00;60;нет
Москва, улица 3-я Карачаровская, 4к1;Конвергенция абонента;14:00;16:00;60;нет
Москва, проспект Рязанский, 73;Конвергенция абонента;12:00;14:00;60;нет
Москва, улица Ферганская, 28/7;Дозаказ оборудования;18:00;20:00;45;нет
Москва, бульвар Самаркандский Квартал 137а, к5;Дозаказ оборудования;20:00;22:00;45;нет
Москва, улица Боровая, 14;Заказ подключения/Дозаказ оборудования;10:00;12:00;75;нет
Москва, улица Стройковская, 8;Дозаказ оборудования;14:00;16:00;45;нет
Москва, улица 2-я Синичкина, 9к1;Дозаказ оборудования;18:00;20:00;45;нет
Москва, проезд Орехово-Зуевский, 18/8;Дозаказ оборудования;10:00;12:00;45;нет
Москва, переулок Большой Рогожский, 10к2;Нет линка;18:00;20:00;60;нет
Москва, улица Машкова, 13с1;Нет линка;20:00;22:00;60;нет
Москва, улица 11-я Текстильщиков, 10;Переключение на Гбит/с;18:00;20:00;45;нет
Москва, улица Паперника, 18;Нет линка;18:00;20:00;60;нет
Москва, улица Большая Калитниковская, 38;Нет линка;18:00;20:00;60;нет
Москва, бульвар Самаркандский Квартал 137а, к5;Переключение на Гбит/с;20:00;22:00;45;нет
Москва, улица Маршала Чуйкова, 9к2;Мониторинг;18:00;20:00;30;нет
Москва, улица Талалихина, 16;Нет линка;12:00;14:00;60;нет
Москва, бульвар Волжский, 50к2;Нет линка;12:00;14:00;60;нет
Москва, улица Артюхиной, 3;Разрывы;14:00;16:00;60;нет
Москва, проезд Ферганский, 7к5;Нет линка;12:00;14:00;60;нет
Москва, улица Земляной Вал, 24/30с1;Нет линка;12:00;14:00;60;нет
Москва, улица 3-я Карачаровская, 8к2;Разрывы;10:00;12:00;60;нет
Москва, улица Чистопольская, 2к2;Нет линка;10:00;12:00;60;нет
Москва, улица Боровая, 12;Работа с кабелем;10:00;12:00;75;нет
Москва, улица Красноказарменная, 9Бс1;Роутер. Замена техническим специалистом;14:00;16:00;30;нет
Москва, улица Сторожевая, 31;TVE/ENT. Другие ошибки;16:00;18:00;45;нет
Москва, улица Новорогожская, 10;Роутер. Замена техническим специалистом;12:00;14:00;30;нет
Москва, улица Нижегородская, 25;TVE/ENT. Замена приставки техником;18:00;20:00;30;нет
Москва, улица Окская, 6к1;Работа с кабелем;10:00;12:00;75;нет
Москва, проспект Волгоградский, 97к1;Нет линка;14:00;16:00;60;нет
Москва, бульвар Самаркандский, 32к1;Информация;16:00;18:00;30;да
Москва, бульвар Самаркандский, 10к2;Информация;16:00;18:00;30;да
Москва, улица Новорогожская, 20;Информация;14:00;16:00;30;да
Москва, улица Ташкентская, 16к2;Информация;10:00;12:00;30;да
Москва, улица Саратовская, 16;Авария;20:00;22:00;90;да
Москва, набережная Семеновская, 3/1к2;Авария;10:00;12:00;90;да
Москва, набережная Семеновская, 2/1;Информация;16:00;18:00;30;да
Москва, проспект Волгоградский, 128к1;Авария;20:00;22:00;90;да
