Адрес;Что делаем;Окно с;Окно до;Работы, мин;Авария
Домодедово, проезд Советский 1-й, 1А;Заказ подключения/Дозаказ оборудования;16:00;18:00;75;нет
Москва, проезд Гурьевский, 23к1;Конвергенция абонента;18:00;20:00;60;нет
Москва, улица Кустанайская, 8к1;Заказ подключения/Дозаказ оборудования;16:00;18:00;75;нет
Москва, шоссе Каширское, 136;Конвергенция абонента;16:00;18:00;60;нет
Домодедово, улица Зеленая, 85;Конвергенция абонента;10:00;12:00;60;нет
Москва, улица Москворечье, 4к6;Конвергенция абонента;12:00;14:00;60;нет
Москва, проезд Загорьевский, 9;Конвергенция абонента;10:00;12:00;60;нет
Москва, улица 6-я Радиальная, 5к3;Конвергенция абонента;14:00;16:00;60;нет
Москва, улица Бирюлёвская, 39;Конвергенция абонента;14:00;16:00;60;нет
Кашира, улица Победы, 9;Заказ подключения/Дозаказ оборудования;14:00;16:00;75;нет
Москва, улица Братеевская, 18к1;Конвергенция абонента;12:00;14:00;60;нет
Москва, бульвар Ореховый, 35к1;Конвергенция абонента;12:00;14:00;60;нет
Москва, бульвар Ореховый, 35к1;Конвергенция абонента;12:00;14:00;60;нет
Москва, проспект Пролетарский, 14А;Конвергенция абонента;16:00;18:00;60;нет
Домодедово, улица Корнеева, 50;Конвергенция абонента;12:00;14:00;60;нет
Домодедово, улица Корнеева, 40;Конвергенция абонента;14:00;16:00;60;нет
Домодедово, улица Зеленая, 85;Заказ подключения/Дозаказ оборудования;10:00;12:00;75;нет
Москва, улица Ереванская, 29;Конвергенция абонента;10:00;12:00;60;нет
Москва, улица Севанская, 15к1;Конвергенция абонента;10:00;12:00;60;нет
Москва, улица 6-я Радиальная, 7/1к2;Конвергенция абонента;16:00;18:00;60;нет
Москва, проезд Загорьевский, 9;Заказ подключения/Дозаказ оборудования;10:00;12:00;75;нет
Кашира, улица Садовая, 18;Конвергенция абонента;10:00;12:00;60;нет
Кашира, улица Садовая, 2/11;Заказ подключения/Дозаказ оборудования;12:00;14:00;75;нет
Москва, улица Паромная, 9к1;Заявка на подключение;14:00;16:00;90;нет
Москва, улица Братеевская, 16к1;Конвергенция абонента;10:00;12:00;60;нет
Москва, улица Борисовские Пруды, 20к1;Заявка на подключение;12:00;14:00;90;нет
Кашира, улица Юбилейная, 9;Конвергенция абонента;10:00;12:00;60;нет
Кашира, улица 8 Марта, 22;Конвергенция абонента;12:00;14:00;60;нет
Москва, бульвар Ореховый, 7к1;Заявка на подключение;10:00;12:00;90;нет
Москва, шоссе Каширское, 94к1;Конвергенция абонента;12:00;14:00;60;нет
Москва, бульвар Ореховый, 11к1;Заказ подключения/Дозаказ оборудования;12:00;14:00;75;нет
Москва, проезд Борисовский, 44к3;Заявка на подключение;10:00;12:00;90;нет
Москва, проезд Ореховый, 41;Конвергенция абонента;10:00;12:00;60;нет
Домодедово, улица Ильюшина, 20;Конвергенция абонента;14:00;16:00;60;нет
Кашира, улица Юбилейная, 8;Конвергенция абонента;14:00;16:00;60;нет
Москва, улица Кустанайская, 9к1;Конвергенция абонента;12:00;14:00;60;нет
Москва, проспект Пролетарский, 18к4;Дозаказ оборудования;18:00;20:00;45;нет
Москва, улица Борисовские Пруды, 20к1;Заказ подключения/Дозаказ оборудования;18:00;20:00;75;нет
Кашира, улица Кржижановского, 7;Конвергенция абонента;20:00;22:00;60;нет
Москва, улица Медынская, 5к1;Дозаказ оборудования;14:00;16:00;45;нет
Домодедово, улица Гагарина, 55/2;Нет линка;16:00;18:00;60;нет
Домодедово, улица 1-я Коммунистическая, 39;Нет линка;18:00;20:00;60;нет
Москва, улица Борисовские Пруды, 48к2;Работа с кабелем;18:00;20:00;75;нет
Ступино, улица Калинина, 34;Работа с кабелем;20:00;22:00;75;нет
Москва, проезд Шипиловский, 59к2;Низкая скорость;20:00;22:00;45;нет
Москва, проезд Востряковский, 15к2;Нет линка;20:00;22:00;60;нет
Москва, улица Бирюлёвская, 58к3;Нет линка;18:00;20:00;60;нет
Москва, улица Домодедовская, 31;Низкая скорость;12:00;14:00;45;нет
Москва, улица Весёлая, 33к7;Рост ошибок на порту;20:00;22:00;45;нет
Ступино, улица Калинина, 34;Работа с кабелем;10:00;12:00;75;нет
Домодедово, улица Ильюшина, 11к2;Нет линка;12:00;14:00;60;нет
Москва, проезд Востряковский, 15к4;Роутер. Замена техническим специалистом;16:00;18:00;30;нет
Домодедово, улица Корнеева, 48;Нет линка;10:00;12:00;60;нет
Москва, улица Луганская, 4к1;Переключение на Гбит/с;18:00;20:00;45;нет
Москва, улица Луганская, 3к1;TVE/ENT. Замена приставки техником;12:00;14:00;30;нет
Москва, улица Весёлая, 33к7;Рост ошибок на порту;14:00;16:00;45;нет
Москва, улица Луганская, 1;IP-адрес 169...;16:00;18:00;30;нет
Москва, улица Кантемировская, 5к2;Низкая скорость;18:00;20:00;45;нет
Москва, проезд Загорьевский, 7к2;Низкая скорость;10:00;12:00;45;нет
Москва, улица Маршала Захарова, 18к1;Переключение на Гбит/с;16:00;18:00;45;нет
Москва, улица Генерала Белова, 45к2;Нет линка;14:00;16:00;60;нет
Москва, улица Шипиловская, 38;IP-адрес 169...;12:00;14:00;30;нет
Москва, проезд Гурьевский, 19к2;TVE/ENT. Замена приставки техником;16:00;18:00;30;нет
Москва, проезд Борисовский, 44к3;Рост ошибок на порту;10:00;12:00;45;нет
Москва, проезд Ореховый, 23к1;Нет линка;18:00;20:00;60;нет
Москва, улица Булатниковская, 4к1;Разрывы;12:00;14:00;60;нет
Москва, бульвар Ореховый, 61к1;Нет линка;10:00;12:00;60;нет
Домодедово, проезд Кутузовский, 16;Нет линка;14:00;16:00;60;нет
Кашира, улица Ленина, 11к3;Нет линка;12:00;14:00;60;нет
Кашира, улица Металлургов, 5к3;Рост ошибок на порту;14:00;16:00;45;нет
Москва, улица Мусы Джалиля, 9к1;IP-адрес 169...;12:00;14:00;30;нет
Домодедово, улица Жуковского, 14/18;Авария;20:00;22:00;90;да
Кашира, Центральная улица 21;Авария;07:00;22:00;90;да
Кашира, Кржижановского улица 5/1;Авария;07:00;22:00;90;да
Кашира, Кржижановского улица 7к2;Авария;07:00;22:00;90;да
Кашира, Кржижановского улица 5/3;Авария;07:00;22:00;90;да
Кашира, Кржижановского улица 5/2;Авария;07:00;22:00;90;да
Кашира, Кржижановского улица 5/1;Авария;07:00;22:00;90;да
Ступино, Андропова улица 37;Авария;07:00;22:00;90;да
Ступино, Андропова улица 33;Авария;07:00;22:00;90;да
Кашира, Центральная улица 19;Авария;07:00;22:00;90;да
Москва, Бирюлевская улица 44;Авария;07:00;22:00;90;да
Москва, Булатниковский проезд 6к1;Авария;07:00;22:00;90;да
